url,resource,fileType,md5,sha256,source
hxxp://angelaragones[.]com/INV/EIW-192081014396/,/INV/EIW-192081014396/,inode/x-empty,d41d8cd98f00b204e9800998ecf8427e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,download
hxxp://atabrsw192[.]192[.]axc[.]nl/INV/VW-3514308/,/INV/VW-3514308/,text/html,06150ec2a92ea42a6213ca405f015809,bb7691f68872741cca248af1731775cbdcf19f695cf90ceb1e12fa5c86ecd2b2,download
hxxp://atscasaespanamohali[.]net/Rechnung-Nr-93302/IIBZ86CW4HM6/,/Rechnung-Nr-93302/IIBZ86CW4HM6/,application/msword,abdca7fb2654545d2cc8ba858b5c0273,8ac7c762c5722878f671c4e69b27780728e12b4393c350362d3283e99bb1e504,download
hxxp://att-hellolab[.]com/0Z5M3b0/,/0Z5M3b0/,,,,file not found
hxxp://ayomengaji[.]id/OM-2620247/,/OM-2620247/,text/html,c35e9d9f97ae80474e2fc756a38c9447,735f686d8ce34359c51a492b111f1c2f82f46cae4d876321f088d85aa1c4a639,download
hxxp://basarimatbaa[.]com/INVOICE/TC-7417871434/,/INVOICE/TC-7417871434/,application/msword,24494ff5988d56db75b0dedf204354a8,baf58a4bc4d98bba31011d2c598c9ff7783c7dc243e491478d287d3e99f0d3fa,download
hxxp://blog[.]undostres[.]com[.]mx/Rechnungs-Details/ZNGPGTWFH/,/Rechnungs-Details/ZNGPGTWFH/,text/html,37d5abe50c74fd9f84b11b9471e60234,5920d37a30d4668c4438189d6d82ea41aa72f1f1336cd8ee076189babab03512,download
hxxp://bodyface[.]tk/WIRE-FORM/FJA-9264309508050/,/WIRE-FORM/FJA-9264309508050/,application/msword,f452b676fd8a597f0ce72237d194425c,1f4a957b82e1bc436ee2b4de6c306648e5495344fed26e893f0e12935d6ec853,download
hxxp://bonakma[.]com/wp-content/Mar-16-08-55-17/Quantum-View/,/wp-content/Mar-16-08-55-17/Quantum-View/,application/msword,de3a69f7c89fa972e2b7f95fa521252f,d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b,download
hxxp://climateinsulationlimited[.]com/xerox/New-invoice-76341158/,/xerox/New-invoice-76341158/,application/msword,cc359a879e748cfb95d1d097c9671039,b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5,download
hxxp://digital[.]syd[.]fr/Invoice-receipt/,/Invoice-receipt/,application/msword,b711729dc47dfe7971cdd721f1f946fd,45e634eb141a5588de9ff361ddbb0520e2867e54a021209b6a475031ca05780f,download
hxxp://dobdom[.]su/ACH-FORM/RCU-727234266420/,/ACH-FORM/RCU-727234266420/,application/msword,f452b676fd8a597f0ce72237d194425c,1f4a957b82e1bc436ee2b4de6c306648e5495344fed26e893f0e12935d6ec853,download
hxxp://ds04[.]projectstatus[.]co[.]uk/totalwirelessdat/modules/INVOICE/TH-7449152285/,/totalwirelessdat/modules/INVOICE/TH-7449152285/,application/msword,02244fbf2ba61afdf461f5e8cfdb19f4,f9c8b231fa050a7acc7b6da5171554068dfedd235ad9bd320c2cb0a9eff3b251,download
hxxp://dworkociolek[.]pl//INV/COA-816676452701857/,//INV/COA-816676452701857/,application/msword,70bfc545f0232149b13206c4574077de,3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35,download
hxxp://www[.]feelingnoir[.]com/INVOICE/WQV-7800280777923/,/INVOICE/WQV-7800280777923/,text/html,c4474f27518c75cc64fce7f9a4cba392,8970d3ea6059606600e849b7d48adcae7d56b01a70cc5fa34b558cab199eb021,download
hxxp://www[.]frauzett[.]de/ACH-FORM/UQ-605127775/,/ACH-FORM/UQ-605127775/,application/msword,e40e49a130554907075e0a4f4d2a37fc,0424c8c7e4f4c5dac96f1526b9e607e86d923455ae7e98c5d300a5d8fab7a22e,download
